,SKU,Product_Name,Product_Category,Price,Promo_Start_Date,Promo_End_Date,Comparison_Price,Comparison_Price_Type,Buy_Box_Item_Price,Buy_Box_Eligible,MSRP,Product_Tax_Code,Ship_Methods,Shipping_Weight,Fulfillment_Type,WFS_Sales_Restriction,Shelf_Name,Primary_Category_Path,Brand,Offer_Start_Date,Offer_End_Date,Item_Creation_Date,Reviews_Count,Average_Rating,Competitor_Price,Competitor_Ship_Price,Cost
0,028400043816-C-F-L1-12.99,Sun Chips Whole Grain Snacks Variety Mix 30 Bags Net 45 OZ,Food & Beverage,39.99,1970-01-01,1970-01-01,30.98,Was Price,39.99,Yes,48.99,2040210,NETWORK_GEO,3.0,Seller Fulfilled,no restrictions,Healthy Snacks,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Chips"",""Healthy Snacks""]",SunChips,2022-08-29,2041-09-12,2018-04-06,6,3.5,42.91,-1.0,15.996000000000002
1,096619461769-C-P-L1-11.49,Kirkland Signature Organic Balsamic Vinegar 1 Liter (33.81 Fluid Ounce),Food & Beverage,25.99,1970-01-01,1970-01-01,28.95,Was Price,26.95,Yes,57.3,2038305,NETWORK_GEO,2.2,WFS Eligible,no restrictions,Vinegars & cooking wines,"[""Home Page"",""Food"",""Pantry"",""Cooking oils & vinegar"",""Vinegars & cooking wines""]",Kirkland Signature,2022-11-13,2049-11-13,2021-03-02,0,0.0,27.7,0.0,10.396
2,794297801814-CB-P-L1-46.99,20 oz Coke cup with logo,Other,103.99,1970-01-01,1970-01-01,103.99,Was Price,103.99,Yes,140.23,2038710,NETWORK_GEO,20.0,Seller Fulfilled,no restrictions,Coffee Mugs,"[""Home Page"",""Home"",""Kitchen & Dining"",""Dining & Entertaining"",""Drinkware"",""Coffee Mugs""]",Generic,2023-05-27,2049-12-31,2022-07-29,0,0.0,0.0,0.0,41.596000000000004
3,096619067237-CB-F-L1-13.99,Kirkland Signature Trail Mix Snack Packs 2 Ounce (Pack of 28),Food & Beverage,29.75,1970-01-01,1970-01-01,37.95,List Price,31.95,Yes,43.61,2038305,ALWAYS_TWO_DAY,3.5,WFS Eligible,no restrictions,Trail Mix,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Trail Mix""]",Kirkland Signature,2017-09-26,2041-09-26,2021-07-12,1,4.0,39.99,0.0,11.9
4,300410011574-C-P-L1-14.99,Lot of 8 Oral B CrossAction Advanced Soft Toothbrushes w Maxi Clean Bristless,"Beauty, Personal Care, & Hygiene",20.99,1970-01-01,1970-01-01,19.99,Was Price,24.99,Yes,29.99,2038710,ALWAYS_TWO_DAY,0.5,WFS Eligible,no restrictions,Oral B Toothbrushes,"[""Home Page"",""Personal Care"",""Oral Care"",""Toothbrushes"",""Oral B Toothbrushes""]",Oral-B,2022-09-16,2049-09-27,2022-05-05,0,0.0,19.9,0.0,8.395999999999999
5,Halley-Hera-Washcloth10-Brown,"HALLEY Turkish Washcloths Set - 10 Pieces Washcloths Set, Ultra Soft, Machine Washable, Highly Absorbent, 100% Cotton - Beige","Home Decor, Kitchen, & Other",17.99,1970-01-01,1970-01-01,17.99,Was Price,17.99,Yes,0.0,2039973,ALWAYS_TWO_DAY,0.95,Walmart Fulfilled,no restrictions,UNNAV,"[""UNNAV""]",HALLEY,2023-09-09,2049-12-25,2023-09-18,0,0.0,17.99,0.0,7.196
6,02096385608-S-P-L1-99.98,"SEIKO Golden Trellis Clock, Brown","Home Decor, Kitchen, & Other",148.0,1970-01-01,1970-01-01,174.99,Was Price,174.99,Yes,299.99,2038710,NETWORK_GEO,6.0,Seller Fulfilled,no restrictions,Clocks Shop All,"[""Home Page"",""Home"",""Decor"",""Clocks"",""Clocks Shop All""]",Seiko,2022-09-18,2042-09-15,2021-09-28,8,3.5,174.99,0.0,59.2
7,025700712718-WD-F-L1-2.99,"Ziploc Storage Bags, Gallon, 120 Ct",Storage,26.85,1970-01-01,1970-01-01,26.92,Was Price,24.99,Yes,13.19,2038710,NETWORK_GEO,0.4,WFS Eligible,no restrictions,Ziploc Bags,"[""Home Page"",""Household Essentials"",""Paper & Plastic"",""Food Storage Bags"",""Ziploc Bags""]",Ziploc,2024-02-15,2049-12-31,2016-10-19,1302,4.7,23.0,6.99,10.740000000000002
8,0686754376198-L2,"Bioblas Garlic Hair Loss Shampoo for Men and Women with Organic Oil, Unscented, Halal, All Hair Types, 13 oz - 2 Pack","Beauty, Personal Care, & Hygiene",17.99,1970-01-01,1970-01-01,16.99,Was Price,17.99,Yes,0.0,2048134,NETWORK_GEO,1.6,WFS Eligible,no restrictions,Mens Hair Care,"[""Home Page"",""Personal Care"",""Men's Essentials"",""Mens Hair Care""]",BIOBLAS,2021-01-07,2030-12-24,2021-01-15,25,4.3,17.99,0.0,7.196
9,812130020564-S-WM-L1-15.98,Truvia Natural Sweetener (400 Count),Food & Beverage,27.96,1970-01-01,1970-01-01,23.94,Was Price,21.5,Yes,40.49,2038305,ALWAYS_TWO_DAY,3.6,Walmart Fulfilled,no restrictions,Sweeteners,"[""Home Page"",""Food"",""Baking"",""Baking Ingredients"",""Sugar"",""Sweeteners""]",Truvia,2024-01-17,2049-12-31,2018-10-17,8550,4.8,0.0,0.0,11.184000000000001
